Start Date,End Data,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Consent_1,Consent_2,Consent_3,Consent_4,Consent_5,ProlificID,COMP_111,COMP_112,Incorrect_11,COMP_121,COM_122,Incorrect_12,ASOCIAL_1,ASOCIAL_2,ASOCIAL_3,ASOCIAL_4,ASOCIAL_5,ASOCIAL_6,ASOCIAL_7,ASOCIAL_8,ASOCIAL_9,ASOCIAL_10,ASOCIAL_11,Sum_risk,Threshold,Zero Count,Intransitive,COMP_211,COMP_212,Incorrect_21,COMP_221,COMP_222,Incorrect_22,SOCIAL_1,SOCIAL_2,SOCIAL_3,SOCIAL_4,SOCIAL_5,SOCIAL_6,SOCIAL_7,SOCIAL_8,SOCIAL_9,SOCIAL_10,SOCIAL_11,Sum_risk,Threshold,Zero Count,Intransitive,Real,Similar,resp,Age,Gender,Country_home,City_home
43990.55598,43990.55829,IP Address,100,199,TRUE,43990.5583,R_3atlhvFYpSRGKtP,anonymous,EN,Yes,Yes,Yes,Yes,Yes,598d55aa8380cc00012a3a53,£0.50 ,,0,I might get £0.55 but I might also get £0.00.,,0,0,0,0,0,0,0,1,1,1,1,1,5,7,7,0,£0.50 ,,0,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,0,0,0,0,0,0,0,0,0,0,0,1,1,11,11,0,3,4,598d55aa8380cc00012a3a53,46,Female,Yes,Yes
43990.57367,43990.57649,IP Address,100,243,TRUE,43990.5765,R_O0xdiLPAGLpcJVv,anonymous,EN,Yes,Yes,Yes,Yes,Yes,59982d15d0bcd10001dd907e,£0.50 ,,0,I might get £0.55 but I might also get £0.00.,,0,0,0,0,0,0,1,1,1,1,1,1,6,6,6,0,£0.50 ,,0,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,4,59982d15d0bcd10001dd907e,38,Female,Yes,No
43990.64731,43990.65179,IP Address,100,386,TRUE,43990.6518,R_1CKkibyenxgLKcF,anonymous,EN,Yes,Yes,Yes,Yes,Yes,59a9954d5ea0f300012814b1,£0.50 ,,0,I might get £0.55 but I might also get £0.00.,,0,0,0,0,0,1,1,1,1,1,1,1,7,5,5,0,£0.50 ,,0,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,0,0,0,1,1,1,1,1,1,1,1,1,9,3,3,0,4,2,59a9954d5ea0f300012814b1,25,Male,No,No
43990.59481,43990.59675,IP Address,100,166,TRUE,43990.59675,R_3hni4yy3p1jzaxr,anonymous,EN,Yes,Yes,Yes,Yes,Yes,59b94db57547b100012d6ff9,£0.50 ,,0,I might get £0.55 but I might also get £0.00.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,£0.50 ,,0,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,0,0,0,0,0,1,1,1,1,1,1,1,7,5,5,0,3,1,59b94db57547b100012d6ff9,33,Female,Yes,Yes
43990.56314,43990.56666,IP Address,100,304,TRUE,43990.56666,R_2S0pLzGgPbeqgYR,anonymous,EN,Yes,Yes,Yes,Yes,Yes,59badaa53a9ab6000111942b,£0.50 ,,0,I might get £0.55 but I might also get £0.00.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,£0.50 ,,0,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,0,0,0,0,0,0,0,1,1,1,1,1,5,7,7,0,5,3,59badaa53a9ab6000111942b,32,Female,No,No
43991.77609,43991.77992,IP Address,100,330,TRUE,43991.77993,R_vBTm6DwKw586ydj,anonymous,EN,Yes,Yes,Yes,Yes,Yes,59bef2f33c45a10001ccd1cb,£0.50 ,,0,I might get £0.55 but I might also get £0.00.,,0,0,0,0,0,1,1,1,1,1,1,1,7,5,5,0,£0.50 ,,0,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,0,0,1,0,1,1,1,1,0,0,1,1,7,2,5,1,5,3,59bef2f33c45a10001ccd1cb,40,Male,Yes,Yes
43990.74567,43990.74845,IP Address,100,239,TRUE,43990.74846,R_2Cqf1ihxMLsP73p,anonymous,EN,Yes,Yes,Yes,Yes,Yes,59d7860ccfaf74000161142b,£0.50 ,,0,I might get £0.55 but I might also get £0.00.,,0,0,0,0,0,0,1,1,1,1,1,1,6,6,6,0,£0.50 ,,0,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,0,0,0,0,1,1,1,1,1,1,1,1,8,4,4,0,4,1,59d7860ccfaf74000161142b,35,Female,Yes,Yes
43992.69733,43992.70016,IP Address,100,244,TRUE,43992.70017,R_AEsHP7ABAm9HMfn,anonymous,EN,Yes,Yes,Yes,Yes,Yes,59e367cc5d8c0c00018e958d,£0.50 ,,0,I might get £0.55 but I might also get £0.00.,,0,0,0,0,0,1,1,1,1,1,1,1,7,5,5,0,£0.50 ,,0,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,0,0,0,0,0,0,0,1,1,1,1,1,5,7,7,0,4,2,59e367cc5d8c0c00018e958d,20,Female,Yes,Yes
43990.56361,43990.56894,IP Address,100,460,TRUE,43990.56894,R_2dAd4Q61vFlDlKo,anonymous,EN,Yes,Yes,Yes,Yes,Yes,59e493ef24d7bf00012f0f17,£0.50 ,,0,I might get £0.55 but I might also get £0.00.,,0,0,0,0,0,0,0,1,1,1,1,1,5,7,7,0,£0.50 ,,0,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,0,0,0,1,1,1,1,1,1,1,1,1,9,3,3,0,4,2,59e493ef24d7bf00012f0f17,30,Female,Yes,Yes
43990.54707,43990.55257,IP Address,100,475,TRUE,43990.55257,R_2wpmM4DClaX9b1n,anonymous,EN,Yes,Yes,Yes,Yes,Yes,59f673018a2d3d00012c1544,£0.50 ,,0,I might get £0.55 but I might also get £0.00.,,0,0,0,0,0,1,1,1,1,1,1,1,7,5,5,0,£0.50 ,,0,I get £0.55 if my partner also chooses Option B. But I will get £0.00 if I choose this option and my partner does not.,,0,0,0,0,1,1,1,1,1,1,1,1,8,4,4,0,4,2,59f673018a2d3d00012c1544,27,Female,No,No
